H,albedo,rot_per,spec_B
13.68,0.4598,1.3553195568204601,S
10.66,0.117,2.0320878452963655,C
11.62,0.031,6.338594078203183,C
11.52,0.111,2.1186622548331173,C
9.2,0.337,2.168802240184632,X
9.83,0.018,3.0204248861443626,X
13.19,0.321,1.2680174535288373,S
11.03,0.149,4.933034048072704,S
10.67,0.121,3.012097627640255,B
10.61,0.063,3.0037004432031678,L
10.66,0.232,2.809523170032844,S
11.08,0.136,2.757475084429733,C
11.14,0.265,2.2077248119700856,S
10.7,0.199,2.2126603854660587,S
10.17,0.035,4.318421011584911,X
11.19,0.149,2.8887037007954675,X
11.48,0.03,2.28949985344539,C
11.14,0.039,2.7880929087757464,L
11.45,0.155,1.8379112352491993,X
10.84,0.149,1.7270147046015354,S
13.49,0.061,2.269028309465203,C
11.56,0.072,1.8653196723360834,C
11.51,0.173,1.50585359617753,L
11.02,0.187,3.47044355439897,X
12.0,0.047,1.7564776550834151,X
10.93,0.338,2.5882902125616054,S
9.98,0.03,4.551030739887443,X
11.43,0.034,1.7573405423575958,C
10.27,0.038,2.871868286331605,X
11.76,0.251,5.372863456999634,S
11.33,0.1502,6.836259277277067,S
11.14,0.085,2.028148247292285,T
13.2,0.257,1.8180767775454285,S
12.01,0.237,5.481055503227208,S
10.83,0.015,2.5796333260539086,B
12.13,0.068,2.034313414062088,X
12.11,0.034,3.790894379520666,X
12.29,0.349,1.8484721355892073,S
11.49,0.034,3.845883202923601,X
11.72,0.118,1.9265816950355004,C
11.4,0.05,2.072291037650995,X
10.56,0.062,2.977313688029973,C
11.88,0.0754,2.190535589185423,C
11.22,0.142,2.828614550502309,B
11.56,0.14,2.6311691567662523,X
10.56,0.068,2.1419467470312332,D
11.8,0.097,2.9014215940827497,K
11.69,0.045,2.139630774610637,X
12.36,0.359,2.2762411176544437,S
11.89,0.257,4.01096295328305,S
11.55,0.249,3.9549100662305228,S
11.67,0.081,2.966457930849996,C
12.04,0.366,2.280339484046726,S
12.43,0.37,1.5150173368146085,S
12.76,0.239,2.5179383788331924,S
9.74,0.059,2.854997858480499,C
11.55,0.216,2.1939971525771464,S
12.03,0.211,3.3853389657276973,X
13.13,0.307,3.2676659890376327,S
11.99,0.262,4.808927023502111,S
12.67,0.321,1.4353463957601624,A
12.27,0.366,1.9344157696295783,S
10.97,0.05,2.0049873557548885,C
10.63,0.1038,2.1090003439213802,X
11.74,0.068,4.401951803481151,C
11.18,0.145,3.7986303180730556,S
15.26,0.29,1.8280978272558093,S
12.79,0.15,1.756995476791715,S
12.53,0.256,2.2210062060010176,S
12.94,0.179,4.177919485808005,S
10.99,0.219,1.926290362185661,S
11.63,0.122,1.6562642447856009,X
10.91,0.351,1.9538783187044901,S
11.61,0.599,2.7978909051019993,X
11.1,0.045,3.0660043265393226,B
9.99,0.271,1.7934247485471162,S
11.6,0.239,2.055276914680538,S
11.68,0.258,2.2807483983848713,S
12.74,0.382,1.4691178143190036,S
11.97,0.455,1.4511453334395068,S
11.22,0.3,1.4879480148463904,S
14.28,0.31,2.415869134447384,S
11.4,0.049,2.3268581053694364,C
12.56,0.042,1.8181904074529422,C
11.09,0.065,3.0979729275005385,L
13.31,0.089,3.2748780149834857,B
13.08,0.359,1.2779962014747215,S
12.31,0.044,2.49213049487732,X
12.03,0.044,2.526848017576172,C
11.51,0.037,2.6087453866915995,B
12.28,0.037,2.5420743228443414,C
12.57,0.246,1.773052241762359,S
12.11,0.192,1.5762946938408462,X
11.87,0.051,2.1005913004025705,C
12.7,0.341,1.6953586949417006,S
13.54,0.2005,1.8388974756854588,S
12.05,0.195,1.597304600610827,S
12.45,0.058,2.1606758468113525,C
12.68,0.032,1.8219491403911128,C
11.58,0.244,1.3443050188476287,S
12.15,0.055,3.0411835364579085,C
12.19,0.049,2.6572760701716014,C
